word,wlen,firsttime,totaltime,word,sent_id,sent_pos,word_length,surprisal,entropy,entry,probability
my ,3,52.77777777777778,52.77777777777778,my,20,20,2,11.882597578579578,-1.499338772502435,8.799306827922553,6.9096085015823005e-06
leave ,6,169.33333333333334,416.55555555555554,leave,21,21,5,13.720113260079565,-1.499338772502435,7.050128465477909,1.1000958340628018e-06
there. ,7,122.44444444444444,159.44444444444446,there,22,22,5,12.19932277345504,-1.499338772502435,7.770350340817906,5.033863519015779e-06
The ,4,100.66666666666667,116.88888888888889,the,0,0,3,-3.0096188862025404,-60.19559287750114,562.2480449059623,20.279669590377047
mater ,6,282.77777777777777,664.4444444444445,mater,1,1,5,11.54520915203354,-60.19559287750114,8.130496259565017,9.682318682593518e-06
will ,5,196.66666666666666,436.6666666666667,will,2,2,4,11.363898304141653,-60.19559287750114,11.266110630853634,1.1607045144773015e-05
be ,3,187.44444444444446,264.44444444444446,be,3,3,2,1.2953126580207628,-60.19559287750114,4.861267675382431,0.2738122413533455
delighted ,10,255.33333333333334,317.1111111111111,delighted,4,4,9,9.328276992434015,-60.19559287750114,6.596015444569157,8.88752379548528e-05
to ,3,20.444444444444443,46.666666666666664,to,5,5,2,2.8338938756614236,-60.19559287750114,10.530342691864456,0.05878351175905328
see ,4,175.88888888888889,269.3333333333333,see,6,6,3,4.507160554871143,-60.19559287750114,6.567673216488289,0.011029734079232358
you ,4,192.0,229.0,you,7,7,3,5.076288381621314,-60.19559287750114,5.893629294991167,0.006243037840693313
all ,4,76.88888888888889,121.22222222222223,all,8,8,3,5.3684149837097594,-60.19559287750114,5.343279985881214,0.00466151403354969
those ,6,164.44444444444446,242.66666666666666,those,9,9,5,4.522869497297333,-60.19559287750114,5.832197205110845,0.010857822431908328
"years, ",7,111.44444444444444,184.33333333333334,years,10,10,5,4.95221724658197,-60.19559287750114,6.38117579492465,0.007067720663619137
